"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"VPS41",1,13,43,10,465,9,0,8,937,306,301,1,7,813,187,468,27,397,5,148,67,44,3,21,131,29,758,613,89,129,36,125,175,147,28,111,558,49,4,656,6
"ARHGAP44",0,4,85,2,221,12,0,10,38,101,60,23,10,237,38,221,0,218,9,25,29,8,6,0,47,49,161,613,80,175,184,46,13,82,0,14,150,186,4,118,32
"ELAC2",8,5,35,0,342,4,0,1,414,171,110,62,8,539,121,462,19,594,6,26,39,61,8,1,205,30,423,690,56,150,59,85,86,87,3,93,491,59,2,361,7
"SCIN",0,0,50,1,5,0,0,17,20,4,79,2,2,13,0,84,0,6,0,0,31,0,2,0,0,16,26,0,28,6,29,0,11,24,0,1,1,44,0,1,22
"ARSD",0,6,27,0,528,2,0,0,863,204,141,111,8,110,106,645,38,247,4,14,32,4,2,4,171,35,277,124,37,193,28,13,36,23,20,12,139,34,3,191,0
"PNPLA4",0,3,29,1,44,0,1,2,181,25,27,57,1,5,16,42,0,27,4,5,9,0,0,0,38,5,59,61,17,4,21,22,4,16,0,26,52,21,8,29,0
"MYH13",2,0,80,4,58,0,0,53,3,59,71,0,8,3,0,8,0,41,0,20,35,0,0,0,6,16,47,1,74,9,153,0,3,78,0,2,3,161,0,3,1
"ADIPOR2",0,13,10,0,526,8,0,11,668,207,154,38,5,735,133,327,1,425,2,121,30,6,1,29,87,46,469,345,61,96,19,147,35,225,9,40,537,23,1,392,3
"CDKL3",0,1,0,0,55,0,0,1,23,27,45,4,1,45,8,19,0,23,0,22,4,8,0,0,0,19,36,34,15,35,19,23,11,16,22,0,15,19,0,25,0
"UPP2",0,0,2,0,8,0,0,0,1,8,33,0,0,3,0,0,0,7,2,12,7,0,8,0,3,1,53,10,9,5,4,13,0,10,0,0,50,4,0,33,14
"PRSS21",0,0,11,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,4,4,2,0,2,12,0,0,0,2,0,0,9
"MARK4",0,7,54,1,490,1,0,16,416,182,127,179,7,376,324,355,58,344,12,45,19,104,9,5,142,11,369,462,46,171,32,100,410,102,1,113,417,38,0,332,43
"PROM1",1,0,62,0,12,11,3,21,0,5,101,0,14,0,0,231,0,187,1,0,56,949,0,148,0,35,13123,1520,59,1935,44,306,79,68,6,923,11380,53,1,12999,5
"CCDC124",0,2,11,2,95,0,0,4,163,44,20,166,0,85,5,200,0,115,0,13,3,29,1,28,58,2,82,185,5,20,20,53,70,36,3,34,157,20,0,60,6
"CEACAM21",0,0,12,0,10,0,0,0,5,5,18,0,0,10,0,0,0,0,0,0,11,1,0,0,0,2,20,16,13,0,6,0,2,0,0,0,7,15,0,5,0
"PAFAH1B1",1,42,86,17,2073,11,7,8,1405,1158,397,417,12,1483,306,1907,99,1375,20,294,39,147,5,31,399,74,1871,1624,113,408,20,329,147,110,22,148,1274,31,0,1715,29
"NOS2",0,0,22,0,4,3,0,12,17,6,8,0,0,0,0,4,0,1,0,0,19,0,6,0,14,10,11,8,12,12,18,0,9,53,0,0,0,22,0,2,0
"DNAH9",3,0,172,9,82,8,0,16,0,22,94,0,31,24,3,56,26,11,8,15,109,4,25,0,26,32,132,4,114,19,213,18,0,205,18,0,20,224,0,24,6
"KIAA0100",4,29,86,10,1290,14,1,6,2361,771,622,395,4,2746,375,1331,35,1241,1,252,104,305,2,72,208,109,2244,2162,174,448,55,265,274,285,22,145,3229,62,0,2046,28
"SLC13A2",0,6,28,1,0,0,0,1,0,1,10,14,7,0,0,0,0,0,0,0,5,0,0,16,0,16,21,0,5,11,6,4,0,54,0,0,0,6,0,0,10
"GAS7",0,0,90,0,4291,0,8,2,310,572,257,402,8,1072,16,528,122,828,19,201,45,18,5,12,216,17,296,1237,52,128,221,68,76,139,5,217,276,225,0,197,10
"TRAPPC6A",0,2,5,0,60,0,0,0,77,27,26,20,5,50,53,35,0,60,0,0,6,0,0,0,8,2,20,16,1,5,4,6,8,18,1,4,20,6,0,15,0
"MATK",0,0,33,6,4,2,1,26,15,5,39,0,2,20,7,8,0,9,0,0,20,3,0,0,5,10,25,60,7,10,48,0,8,0,3,0,13,48,0,5,2
"CEACAM7",1,0,9,0,0,0,0,0,0,3,36,14,0,0,0,0,0,0,0,0,6,6,0,0,0,8,8,0,15,1,2,0,4,0,1,0,0,2,1,0,3
"CD79B",0,2,35,0,0,0,0,14,0,0,5,0,0,1,0,0,0,2,0,0,13,22,0,0,0,10,24,42,13,7,8,0,0,70,0,0,9,8,0,4,0
"SCN4A",0,0,30,1,33,0,0,18,1,14,30,0,5,17,8,10,0,37,4,0,68,0,6,0,5,11,56,39,43,12,80,0,10,79,0,0,0,99,0,0,0
"ST7L",5,0,29,0,472,0,2,26,242,193,163,31,17,1421,33,371,0,178,4,148,31,47,0,30,158,6,321,160,49,23,13,35,43,73,1,20,262,13,3,261,9
"TKTL1",0,0,57,0,4,0,0,1,1,1,60,0,14,0,0,0,0,4,4,0,12,0,0,0,0,0,38,0,21,1,18,0,0,15,0,0,0,18,0,0,7
"PAX6",0,0,36,2,172,0,0,3,31,2,69,30,21,39,183,491,0,434,4,0,65,22,7,0,8,8,96,18,55,21,104,10,12,160,2,0,16,114,2,20,2
"RPUSD1",0,2,12,1,163,1,0,0,326,52,92,238,0,177,77,123,35,185,1,17,7,52,0,0,81,3,106,97,3,44,8,1,80,2,2,33,174,8,0,90,0
"RHBDF1",0,1,43,1,719,1,12,1,383,95,133,278,12,592,116,313,34,279,0,114,25,6,6,0,257,4,235,325,19,75,46,1,42,24,1,56,301,46,5,207,1
"LUC7L",1,1,26,9,1513,0,0,22,985,713,378,646,10,705,154,744,87,912,6,280,39,216,23,103,313,3,1409,1064,40,448,33,166,255,42,8,88,930,43,1,1346,2
"CACNA2D2",0,1,57,1,220,0,0,4,53,85,42,28,30,215,39,127,5,69,6,28,56,20,0,22,20,11,244,454,14,143,56,26,28,56,0,99,60,56,0,211,13
"BAIAP3",0,0,73,1,112,5,0,3,89,23,43,3,1,56,44,44,8,86,0,1,22,2,4,0,13,6,64,173,17,135,14,22,50,20,0,6,50,14,0,34,10
"TSR3",0,5,42,4,165,1,8,0,281,26,107,99,6,120,61,129,75,226,0,8,3,45,8,35,97,11,179,231,21,69,1,78,92,47,4,57,280,5,1,159,15
"PIGQ",0,2,62,3,598,3,0,3,377,228,191,493,0,911,340,424,0,530,12,66,36,262,6,66,250,18,848,1270,22,520,26,256,277,51,0,154,735,30,0,824,10
"CRAMP1L",0,1,48,4,551,0,0,18,301,236,157,75,1,490,99,233,14,292,0,70,5,25,11,12,71,8,429,546,23,118,13,112,90,62,3,38,388,31,0,408,1
"TEAD3",0,1,38,2,179,0,2,1,404,455,179,342,14,165,47,534,8,979,2,32,7,119,0,12,189,19,584,1151,11,98,18,78,192,152,0,60,760,18,0,549,0
"SELE",0,0,21,0,7,3,0,1,0,1,25,5,1,1,0,2,0,7,0,0,5,0,8,0,0,7,32,0,24,6,44,0,2,82,0,0,0,56,0,4,2
"DNAJC11",2,5,50,3,812,9,0,4,426,222,123,135,19,501,202,260,24,298,4,58,37,16,1,18,127,17,263,242,26,77,26,94,239,76,2,25,373,26,0,206,5
"FMO3",0,0,29,2,9,0,0,5,103,11,37,6,20,7,3,101,1,1109,0,138,7,0,1,0,12,5,33,4,22,1,3,0,0,18,0,21,0,3,0,6,5
"MYLIP",0,1,7,2,347,0,0,1,373,149,90,1,0,380,41,93,0,411,0,14,2,35,1,0,33,1,224,93,14,30,19,122,72,68,1,12,477,20,0,200,0
"NOX1",0,0,20,0,4,0,0,0,3,0,12,0,0,0,1,7,0,0,0,0,36,0,0,0,0,6,7,0,20,0,18,0,0,0,20,0,1,24,0,0,0
"E2F2",0,0,47,1,56,0,7,10,30,6,66,43,4,124,11,64,0,259,0,12,5,4,0,0,53,1,26,63,11,12,22,0,38,36,27,4,7,30,0,7,18
"PSMB1",1,3,19,2,407,12,0,9,397,93,116,103,1,299,72,235,5,210,8,61,17,31,1,5,74,25,335,312,61,46,18,62,71,101,7,38,199,18,1,245,0
"SYN1",0,0,22,11,85,0,0,0,17,20,75,186,1,26,12,108,0,121,2,12,6,20,4,8,65,5,53,31,4,11,10,15,10,4,8,1,24,10,0,12,16
"JARID2",1,5,34,9,370,0,2,3,506,208,132,129,7,260,98,135,58,142,1,28,24,6,2,1,88,37,269,412,45,249,19,50,217,76,6,6,175,30,0,222,52
"CDKL5",0,2,19,1,296,0,0,0,147,97,50,62,1,122,38,81,0,154,3,14,51,6,4,0,13,3,107,220,26,29,24,47,3,40,2,7,120,29,4,77,0
"CAMK1G",2,0,10,2,5,0,0,21,16,0,50,0,4,0,0,8,0,0,0,0,3,0,2,0,0,5,48,53,30,2,10,4,6,13,8,0,16,10,0,22,0
"CDK11A",0,0,0,0,41,0,0,5,8,11,26,11,0,52,23,19,5,20,0,0,0,1,0,0,10,0,32,35,6,7,6,0,7,0,0,1,31,6,0,32,14
"NADK",0,4,19,14,280,4,0,0,354,132,187,50,12,884,168,229,22,535,1,53,12,45,1,6,450,18,415,281,20,72,28,67,159,90,3,28,437,28,5,371,3
"TFAP2B",0,0,62,0,0,0,0,0,0,0,33,18,6,0,0,0,0,107,0,0,42,0,0,0,0,8,30,0,19,8,34,0,2,52,6,0,0,34,14,0,0
"TFAP2D",0,1,12,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,5,0,11,0,0,0,0,1,28,0,11,6,10,0,0,18,38,0,0,12,0,0,0
"DLEC1",4,0,63,6,167,4,0,15,56,58,79,15,1,52,46,203,1,112,0,18,22,50,0,0,38,10,301,418,29,36,51,45,42,131,0,16,173,51,0,238,13
"CYTH3",0,14,34,8,393,1,6,0,1224,174,171,194,0,2774,125,555,36,974,0,404,25,85,7,1,112,17,490,675,43,193,24,64,188,46,0,68,1011,25,3,436,1
"ADAM22",0,0,86,2,265,0,0,1,15,145,254,381,9,31,17,868,1,1049,5,20,38,0,36,21,43,11,547,11,78,22,37,6,64,14,19,4,278,37,1,451,11
"SYPL1",3,6,29,1,445,5,0,10,937,197,76,248,3,262,61,364,5,286,0,71,9,12,0,18,126,25,241,1014,76,92,10,36,26,95,9,25,202,28,0,201,4
"CYB561",1,3,59,3,359,1,2,8,321,49,86,150,1,290,206,177,100,65,0,44,17,44,0,2,593,28,143,251,41,32,44,31,81,53,5,27,134,53,0,96,6
"SPAG9",3,50,93,12,2779,13,2,40,1917,1052,648,634,30,2736,502,1542,73,1033,5,510,110,195,34,118,1111,119,1686,1635,188,443,57,337,394,216,51,210,1167,90,5,1392,26
"CELSR3",0,0,40,7,177,10,0,47,123,45,215,1,13,22,1031,1144,28,123,23,6,77,2,2,0,140,39,95,47,50,23,101,16,65,158,14,6,10,101,2,41,1
"AASS",0,1,15,2,340,4,0,2,158,325,152,165,11,154,20,253,0,271,0,93,11,55,1,0,115,6,706,200,42,127,22,118,40,31,2,40,602,22,0,643,10
"PLEKHG6",1,0,20,0,106,1,0,18,41,37,41,40,0,43,28,53,0,70,2,2,28,0,0,0,5,9,99,95,22,15,24,51,6,76,14,0,60,24,2,58,10
"SS18L2",0,0,1,0,30,0,0,2,97,8,47,3,6,22,8,29,0,25,0,3,10,2,0,0,17,0,29,19,4,0,4,16,9,11,10,11,57,4,0,16,0
"MPND",0,3,2,3,114,0,9,0,57,40,35,67,1,148,110,203,23,115,2,0,19,23,0,0,66,6,90,157,8,65,13,27,54,29,1,28,86,23,0,74,0
"MGST1",0,0,18,0,340,2,0,24,323,11,63,13,9,0,6,216,2,60,0,7,38,32,0,6,68,19,35,4,47,15,50,0,8,170,0,9,2,69,2,0,0
"CRY1",0,6,12,0,147,0,0,14,208,90,150,152,12,350,92,194,0,327,2,0,24,7,3,7,43,23,109,141,44,30,21,82,72,96,17,12,56,22,0,49,0
"PGLYRP1",0,0,0,6,22,0,0,0,5,16,22,0,4,9,19,24,0,32,1,0,12,26,0,0,0,0,27,19,4,2,19,4,6,0,0,0,6,28,0,17,0
"NFIX",1,2,108,17,3405,9,7,162,3495,1706,929,4382,28,6989,699,5766,636,5991,14,602,38,1064,29,209,2852,56,4144,3478,57,1011,79,1906,1406,179,103,366,4828,81,3,4067,0
"ST3GAL1",2,6,24,7,457,12,0,5,1250,1214,378,546,17,441,232,1918,65,1238,18,91,63,69,11,106,335,45,337,683,78,110,44,111,159,239,20,163,409,59,4,257,9
"MMP25",4,3,41,6,51,2,0,23,128,31,92,0,3,77,32,55,16,58,0,0,34,44,0,1,11,5,59,107,22,34,5,7,19,45,0,0,70,13,0,48,0
"IL32",0,0,54,4,32,0,0,0,61,3,67,30,0,48,6,78,0,14,11,0,15,5,0,0,32,4,16,83,7,0,6,32,6,53,16,0,53,6,2,11,0
"PKD1",4,7,123,92,3706,47,22,153,3957,3949,1983,3670,56,6361,2818,5333,200,10927,24,237,60,3804,97,502,1635,126,11753,22597,17,2968,125,4176,2608,226,54,2227,14090,128,11,11581,6
"MAPK8IP2",0,0,37,0,50,4,0,1,46,24,43,28,0,11,11,48,0,3,6,14,8,2,12,0,46,5,21,18,19,9,11,0,36,26,0,0,1,19,0,1,8
"MED24",0,2,50,0,276,5,0,4,478,365,346,217,18,732,268,305,34,370,0,81,35,110,0,32,288,20,594,1021,69,259,35,263,222,208,9,73,666,44,0,496,0
"RHOBTB2",0,1,63,17,647,1,4,6,506,191,278,202,12,579,67,824,0,432,4,50,55,37,4,10,141,16,549,1145,19,142,40,211,209,150,9,52,609,48,0,503,0
"HEATR5B",0,8,50,0,414,13,0,17,329,238,217,50,11,484,78,325,21,240,5,70,37,81,0,1,131,36,574,460,81,43,30,21,58,79,33,18,386,33,1,482,56
"SEC62",0,20,37,0,782,2,0,3,1326,481,202,173,8,765,203,846,2,343,12,157,45,37,3,23,107,37,1137,543,125,146,30,129,41,125,16,69,911,32,1,1013,7
"RPS20",1,68,66,18,1875,39,1,50,3342,724,422,628,24,1306,1186,1142,41,898,2,322,104,142,26,36,509,134,1047,1121,311,270,60,146,1280,483,71,87,1173,68,14,818,25
"CSDE1",5,169,80,15,2378,69,5,57,2675,1860,1358,268,17,4011,481,5986,8,2047,5,706,140,142,8,16,754,331,4209,1568,476,584,64,638,653,482,134,179,3847,91,10,3709,9
"UBE3C",0,22,50,3,703,16,2,2,2456,637,304,289,2,1357,331,719,9,693,0,211,57,68,3,23,346,58,1022,526,148,142,56,169,276,119,26,114,1044,61,12,849,26
"REV3L",3,4,57,7,5366,14,5,24,857,4454,499,156,20,8057,154,1702,56,1539,2,235,41,159,10,5,833,29,2045,1479,112,199,55,373,95,228,38,54,1122,83,4,1866,1
"TENM1",0,0,104,9,182,2,0,12,4,1063,148,88,5,70,0,1087,0,437,0,43,42,196,0,0,5,23,426,22,38,240,11,114,53,0,24,0,471,11,0,318,4
"PAX7",0,0,23,0,7,0,0,0,0,0,36,0,7,0,0,7,0,0,0,0,8,0,14,0,6,0,27,0,6,0,31,0,6,58,0,0,0,41,0,0,3
"MASP2",4,0,20,4,174,10,0,28,18,134,32,48,8,104,48,126,14,82,4,38,7,12,0,0,18,10,75,29,4,6,19,26,15,1,12,0,55,19,0,64,0
"IYD",4,8,23,0,1,8,0,18,1,3,146,0,9,4,0,9,0,0,0,0,58,0,8,0,0,22,83,0,60,27,45,1,0,80,3,1,3,45,0,1,2
"FAM76A",0,4,5,1,161,4,0,1,191,81,82,0,9,280,25,157,0,228,5,30,18,4,1,0,26,13,191,77,24,8,12,34,12,81,3,9,115,13,1,150,0
"TRAF3IP3",0,0,52,0,24,0,0,25,100,14,165,1,1,77,4,48,0,48,12,11,45,25,2,20,22,6,184,99,91,9,30,2,11,77,8,3,38,41,4,96,1
"POMT2",0,17,34,6,700,9,2,0,323,190,132,31,4,497,88,472,1,472,10,20,54,6,11,4,188,32,322,159,36,74,107,28,96,149,22,19,222,150,7,251,22
"VTA1",0,12,23,6,265,2,0,1,363,78,94,10,17,325,13,159,1,78,0,26,12,6,2,2,28,43,229,142,82,25,23,18,13,95,10,2,111,23,0,141,12
"MLXIPL",0,0,24,0,95,0,0,0,2,1,24,18,12,1,4,19,1,16,6,0,15,1,0,20,20,1,13,0,17,1,39,1,4,4,0,5,5,53,0,4,24
"BAZ1B",0,9,35,6,1635,8,1,18,2603,558,512,289,10,1084,474,2152,94,1458,10,200,27,104,2,30,349,43,1306,860,97,243,29,281,303,161,1,120,1245,43,4,1210,3
"RANBP9",1,4,29,3,440,1,1,6,503,243,96,96,14,527,116,307,31,272,8,73,15,60,0,27,38,13,451,382,36,55,6,39,92,50,8,41,319,8,1,395,0
"ETV7",0,0,17,0,5,0,0,11,11,8,21,0,0,5,30,9,0,0,2,0,4,0,0,0,3,0,33,64,1,1,18,0,2,45,0,0,24,19,0,26,0
"SPRTN",0,3,28,2,163,3,0,2,192,58,79,16,14,104,40,134,18,71,8,33,30,4,0,13,37,18,140,128,61,36,41,14,37,20,4,6,104,42,1,104,8
"METTL13",0,2,26,0,185,6,0,18,407,42,95,52,2,84,45,195,0,243,2,45,16,0,4,0,110,29,226,214,67,24,20,30,79,83,3,10,224,31,1,182,0
"DYRK4",1,1,26,0,59,1,0,4,97,25,91,0,8,21,8,81,14,93,5,0,44,3,0,0,18,3,145,101,40,21,9,20,7,54,9,8,169,9,0,101,9
"ZNF207",0,18,88,7,1629,7,0,76,2154,1451,475,282,11,3344,339,1748,4,1229,23,545,91,207,3,67,332,85,2544,1990,167,432,46,416,266,318,18,161,1603,81,3,2417,5
"UQCRC1",0,25,29,9,208,6,2,6,306,125,185,122,5,126,131,340,0,348,4,67,19,24,4,1,52,38,261,462,96,53,33,44,62,101,27,25,322,35,0,173,19
"STARD3NL",0,1,42,2,157,5,0,4,438,90,100,29,9,211,115,105,5,140,0,16,21,64,0,61,75,17,293,213,31,80,32,17,49,39,11,24,329,32,2,255,5
"CD9",0,97,28,13,96,29,1,16,115,114,504,172,13,302,36,250,1,590,1,55,137,49,6,15,4,219,386,36,336,92,67,63,31,297,84,1,187,76,0,120,17
"HHATL",0,0,11,1,1,0,0,0,0,34,53,54,2,1,0,16,0,4,0,0,7,0,0,1,1,1,10,13,1,0,10,0,6,66,0,0,4,10,0,2,0
"NCAPD2",1,17,81,11,592,1,0,15,868,159,281,282,4,931,312,513,1,1450,6,43,33,65,3,70,269,64,341,402,54,189,10,57,145,120,34,74,357,10,2,278,1
"IFFO1",0,0,38,4,963,0,1,114,394,203,210,376,8,708,535,586,54,928,6,70,51,173,7,36,276,8,787,705,12,202,36,217,60,19,40,77,1077,48,0,750,0
"GIPR",0,1,39,0,16,5,0,4,6,3,55,10,4,9,9,26,12,1,0,0,26,0,1,0,4,10,67,36,24,18,15,0,10,34,0,9,1,15,0,1,11
"PHF7",1,0,4,1,98,0,0,1,49,21,67,1,0,47,15,80,28,82,0,19,16,3,1,0,6,16,83,65,22,17,4,14,3,74,0,1,43,4,0,43,0
"SEMA3G",0,0,57,0,123,0,0,1,32,24,72,0,0,129,6,28,1,53,0,467,17,0,1,0,35,15,54,94,14,1,30,7,24,66,0,0,47,30,0,23,5
"NISCH",4,14,29,17,1809,30,0,28,1807,1267,408,441,10,1430,1058,1402,57,3502,5,297,51,583,35,43,293,67,2830,5193,57,461,75,295,687,149,1,445,2983,90,13,2736,4
"STAB1",0,4,103,18,3507,12,0,12,4510,206,1423,282,4,1493,2091,842,626,577,20,133,32,124,23,128,1861,27,939,860,36,34,31,267,268,62,4,15,2573,44,10,884,36
"FUZ",0,0,8,1,129,0,0,2,147,58,124,127,6,196,46,68,18,248,2,35,8,45,0,14,65,11,180,152,11,73,7,62,95,99,0,51,169,17,0,140,0
"SLC6A13",2,0,3,0,17,0,0,0,6,14,7,4,9,0,0,19,0,0,5,10,52,0,1,5,0,0,14,4,7,6,28,0,1,13,0,0,7,28,0,4,0
"IDS",0,30,15,1,1337,18,6,2,759,423,255,163,14,493,282,1043,79,886,22,472,24,181,18,17,294,58,1556,800,47,88,30,348,124,176,6,183,1867,31,0,1462,2
"PRSS3",1,2,28,1,5,2,0,0,23,4,16,0,14,1,16,1,0,4,0,0,16,0,0,0,0,18,21,4,7,5,12,0,10,11,8,0,0,12,0,0,22
"ZNF200",0,1,29,0,106,5,0,0,117,46,134,69,18,142,24,134,0,86,6,50,41,0,0,0,88,7,143,207,45,33,16,36,34,38,0,8,138,46,0,97,8
"CD4",0,0,35,0,237,0,0,115,628,96,132,107,10,133,56,131,37,124,6,284,5,2,0,28,116,9,139,102,33,12,45,34,6,56,0,62,320,45,7,110,4
"LRRC23",0,0,2,2,72,0,0,2,51,24,112,35,10,96,29,42,0,34,0,3,29,0,0,10,8,3,67,53,8,16,25,0,2,56,12,29,70,25,6,47,0
"BTK",0,0,34,9,66,0,0,20,80,10,36,0,19,16,2,21,0,6,2,0,3,5,0,0,12,0,39,16,24,2,18,0,0,37,0,0,43,20,1,12,6
"HFE",0,3,18,2,89,1,0,12,201,19,80,36,4,74,26,32,44,6,6,33,14,20,7,85,10,25,238,141,34,73,27,60,25,23,0,33,252,35,0,198,6
"SCMH1",1,1,53,1,615,0,1,49,686,680,266,226,10,471,276,987,3,798,1,49,17,119,0,0,188,3,1208,690,25,145,7,245,157,35,0,28,1289,7,1,1153,2
"FYN",1,6,75,13,3675,6,16,13,481,633,280,151,9,957,152,342,34,443,24,33,45,67,23,57,787,58,767,1000,93,196,36,57,125,318,23,62,107,82,0,664,1
"HIVEP2",0,4,63,5,1377,12,0,2,1297,122,307,62,5,545,286,1630,2,1420,14,142,28,26,0,40,579,41,433,860,76,69,30,171,107,318,23,15,416,50,1,352,1
"FMO1",0,0,7,0,6,0,0,0,132,5,39,0,2,0,1,0,0,36,2,12,2,0,0,0,6,0,11,0,45,4,17,0,8,25,0,0,0,17,0,0,2
"TCEB3",0,7,29,4,1910,16,0,1,502,298,252,25,17,790,255,634,8,508,7,65,35,84,7,14,303,47,865,394,40,112,39,174,219,125,5,32,745,53,2,765,27
"LYPLA2",0,11,26,4,413,6,0,2,182,52,161,50,0,256,148,156,2,171,0,16,16,79,8,6,145,24,247,171,35,99,20,41,280,43,11,10,308,24,0,212,1
"CLCN6",4,12,46,2,651,0,0,24,247,311,182,121,8,530,241,386,20,452,3,115,38,80,24,25,283,18,442,366,37,100,77,73,177,71,0,50,544,77,0,387,4
"MRC2",1,11,69,57,1655,45,40,129,3727,491,300,1364,12,2083,2256,105,330,608,32,527,44,464,50,119,1513,79,1881,3037,28,753,57,900,1929,124,3,1357,2674,67,0,1827,5
"NME2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC6A7",0,0,45,3,65,2,0,36,18,6,63,0,2,1,14,1,0,7,5,0,24,0,1,0,0,5,40,4,9,7,52,0,0,38,0,8,2,52,0,8,0
"TSPAN9",1,1,53,0,439,0,0,2,628,494,166,394,3,387,193,306,29,246,10,107,7,78,0,58,121,13,524,553,22,109,17,44,190,57,1,4,313,23,0,505,0
"BTBD7",0,3,63,4,680,2,0,10,841,331,122,53,7,996,455,592,2,732,15,129,42,21,0,25,119,22,443,430,72,76,65,67,39,71,24,13,343,66,2,363,27
"APBA3",0,1,13,0,229,0,4,3,60,73,120,337,3,304,80,340,29,257,4,30,24,37,12,30,130,10,175,267,3,67,15,30,179,51,0,22,129,15,0,146,0
"MKS1",0,0,16,0,57,0,0,3,78,68,64,1,0,66,34,101,1,70,0,9,29,27,8,1,15,37,141,207,23,48,38,56,48,103,0,18,88,51,0,98,10
"ABHD5",0,20,14,2,76,6,0,26,114,23,116,8,11,43,36,171,0,116,3,11,36,8,14,2,58,50,87,81,70,15,49,4,11,68,38,2,47,51,1,33,3
"KAL1",0,0,14,2,521,1,0,0,114,10,60,3,5,296,30,4,1,25,8,44,6,0,0,0,106,1,45,7,31,33,29,0,0,32,0,0,18,29,1,0,1
"AKAP8L",1,2,37,9,535,1,7,42,327,429,221,574,3,783,153,561,58,728,14,109,2,301,5,68,449,21,907,1892,33,411,12,200,299,70,2,152,961,12,0,862,1
"MBTD1",5,2,53,8,468,0,0,2,548,352,200,11,22,436,108,306,22,193,3,116,11,50,0,5,141,4,437,207,50,73,20,19,62,47,18,8,211,33,0,336,11
"UTP18",0,2,14,1,215,11,0,5,317,75,57,81,2,146,29,145,33,143,3,33,20,40,0,41,64,18,170,162,46,37,6,31,65,58,1,8,121,7,0,125,0
"RNF216",0,0,57,3,1046,1,0,1,1579,527,379,914,14,876,358,1189,30,1474,7,71,36,110,13,63,293,14,946,1242,59,216,24,217,297,110,6,65,979,43,2,849,2
"TTC19",0,4,32,4,1089,10,4,3,269,387,158,200,11,659,148,757,78,715,10,139,69,63,11,0,288,24,524,425,84,94,67,103,52,81,41,21,413,69,0,459,0
"PTBP1",2,14,44,9,1381,47,3,28,1262,570,385,763,16,1595,948,1224,173,1545,11,215,22,266,47,90,1081,79,1235,1667,59,466,50,203,931,201,5,166,1466,66,4,1184,2
"DPF1",0,0,134,0,16,0,0,0,26,17,82,14,0,92,25,124,0,232,1,0,17,8,8,34,11,19,47,10,35,20,11,10,8,32,22,35,21,13,0,21,13
"SYT7",0,0,61,0,35,0,1,12,248,33,50,40,0,12,142,197,0,80,4,8,32,0,18,0,2,6,35,12,30,4,43,1,26,120,0,0,5,57,0,1,16
"LARS2",1,7,8,1,179,1,0,22,331,89,95,71,7,148,121,217,2,175,1,45,27,38,4,2,38,16,206,317,61,40,29,88,89,50,0,24,193,30,1,151,0
"PIK3C2A",2,19,10,3,1010,9,0,45,958,639,251,162,12,959,161,659,0,492,3,150,75,55,0,5,89,80,973,911,90,132,28,73,52,107,32,65,749,32,1,859,3
"PLAUR",0,29,31,10,128,0,0,1,575,32,165,2,16,29,341,21,27,65,10,3,24,15,3,0,219,54,127,16,61,21,41,1,16,285,20,0,45,49,0,27,5
"ANLN",3,7,32,2,411,3,0,3,1349,21,175,38,9,798,205,416,32,1302,13,17,40,0,9,43,155,38,121,13,63,36,28,6,127,77,6,15,41,35,3,26,3
"WIZ",0,0,70,2,757,0,1,3,821,373,268,772,22,970,338,1051,62,597,3,64,32,132,8,84,1124,0,581,1247,15,194,22,234,386,56,4,76,966,24,1,561,0
"RABGAP1",2,22,28,5,660,11,0,8,995,762,421,135,10,1181,140,1850,1,933,8,232,61,90,6,0,187,56,1046,936,81,84,22,140,107,72,5,47,359,24,6,902,3
"DCN",1,0,123,3,10906,0,4,69,1531,1016,399,28,12,9717,247,192,165,370,9,2167,36,2,22,8,1538,12,1182,1006,63,7,42,239,124,265,0,158,451,71,13,931,21
"QPCTL",0,1,1,6,88,0,0,16,86,23,76,148,2,68,84,46,8,93,4,22,0,15,0,0,57,9,59,63,4,23,13,9,57,5,2,32,54,13,0,40,0
"PPP5C",1,7,57,4,889,17,0,1,458,190,130,88,15,580,161,424,10,448,7,14,40,148,0,34,121,36,629,593,70,202,26,93,205,106,14,118,349,27,0,563,8
"CEP68",0,4,47,6,785,0,0,2,458,524,138,122,2,911,261,799,33,568,1,159,36,54,4,21,123,18,652,678,64,101,33,86,104,83,0,106,609,34,0,595,1
"MAP4K3",0,16,27,6,236,1,5,4,216,183,128,183,31,356,34,410,38,242,3,49,16,33,1,12,51,32,360,502,81,73,29,53,112,40,4,23,341,41,8,287,0
"ZBTB32",0,0,15,10,116,0,0,0,66,18,57,37,8,47,31,89,0,47,1,30,14,8,0,0,8,15,48,26,5,22,14,18,42,0,0,0,25,14,0,31,0
